AB1TUBERCU_MILIARY	Miliary tuberculosis	I Certain infectious and parasitic diseases (AB1_)	60	497285	https://risteys.finngen.fi/endpoints/AB1TUBERCU_MILIARY
AB1_ACTINOMYCOSIS	Actinomycosis	I Certain infectious and parasitic diseases (AB1_)	124	439048	https://risteys.finngen.fi/endpoints/AB1_ACTINOMYCOSIS
AB1_AMOEBIASIS	Amoebiasis	I Certain infectious and parasitic diseases (AB1_)	197	444292	https://risteys.finngen.fi/endpoints/AB1_AMOEBIASIS
AB1_ANOGENITAL_HERPES_SIMPLEX	Anogenital herpesviral [herpes simplex] infection	I Certain infectious and parasitic diseases (AB1_)	2510	485458	https://risteys.finngen.fi/endpoints/AB1_ANOGENITAL_HERPES_SIMPLEX
AB1_ASPERGILLOSIS	Aspergillosis	I Certain infectious and parasitic diseases (AB1_)	260	488977	https://risteys.finngen.fi/endpoints/AB1_ASPERGILLOSIS
AB1_ATYPICAL_CNS_VIRUS	Atypical virus infections of central nervous system	I Certain infectious and parasitic diseases (AB1_)	334	497501	https://risteys.finngen.fi/endpoints/AB1_ATYPICAL_CNS_VIRUS
AB1_BACTINF_NOS	Bacterial infection, other or unspecified	I Certain infectious and parasitic diseases (AB1_)	25506	439048	https://risteys.finngen.fi/endpoints/AB1_BACTINF_NOS
AB1_BACT_BIR_OTHER_INF_AGENTS	Bacterial, viral and other infectious agents	I Certain infectious and parasitic diseases (AB1_)	3521	496827	https://risteys.finngen.fi/endpoints/AB1_BACT_BIR_OTHER_INF_AGENTS
AB1_BACT_INTEST_OTH	Other bacterial intestinal infections	I Certain infectious and parasitic diseases (AB1_)	7671	444292	https://risteys.finngen.fi/endpoints/AB1_BACT_INTEST_OTH
AB1_CANDIDIASIS	Candidiasis	I Certain infectious and parasitic diseases (AB1_)	5341	488977	https://risteys.finngen.fi/endpoints/AB1_CANDIDIASIS
AB1_CHLAMYDIA_OTHER	Other sexually transmitted chlamydial diseases	I Certain infectious and parasitic diseases (AB1_)	2782	485458	https://risteys.finngen.fi/endpoints/AB1_CHLAMYDIA_OTHER
AB1_CHOLERA	Cholera	I Certain infectious and parasitic diseases (AB1_)	1571	444292	https://risteys.finngen.fi/endpoints/AB1_CHOLERA
AB1_DENGUE_FEVER	Dengue fever [classical dengue]	I Certain infectious and parasitic diseases (AB1_)	64	496577	https://risteys.finngen.fi/endpoints/AB1_DENGUE_FEVER
AB1_DERMATOPHYTOSIS	Dermatophytosis	I Certain infectious and parasitic diseases (AB1_)	5071	488977	https://risteys.finngen.fi/endpoints/AB1_DERMATOPHYTOSIS
AB1_DIBTHERIA	Diphtheria	I Certain infectious and parasitic diseases (AB1_)	54	439048	https://risteys.finngen.fi/endpoints/AB1_DIBTHERIA
AB1_EARLY_SYPHILIS	Early syphilis	I Certain infectious and parasitic diseases (AB1_)	394	485458	https://risteys.finngen.fi/endpoints/AB1_EARLY_SYPHILIS
AB1_EBV	Infectious mononucleosis	I Certain infectious and parasitic diseases (AB1_)	3838	486087	https://risteys.finngen.fi/endpoints/AB1_EBV
AB1_ENTEROBIASIS	Enterobiasis	I Certain infectious and parasitic diseases (AB1_)	145	499726	https://risteys.finngen.fi/endpoints/AB1_ENTEROBIASIS
AB1_ERYSIPELAS	Erysipelas	I Certain infectious and parasitic diseases (AB1_)	27918	439048	https://risteys.finngen.fi/endpoints/AB1_ERYSIPELAS
AB1_GASTROENTERITIS_NOS	Diarrhoea and gastroenteritis of presumed infectious origin	I Certain infectious and parasitic diseases (AB1_)	39997	444292	https://risteys.finngen.fi/endpoints/AB1_GASTROENTERITIS_NOS
AB1_GONOCOCCAL	Gonococcal infection	I Certain infectious and parasitic diseases (AB1_)	1163	485458	https://risteys.finngen.fi/endpoints/AB1_GONOCOCCAL
AB1_HELMINTIASES	Helminthiases	I Certain infectious and parasitic diseases (AB1_)	622	499726	https://risteys.finngen.fi/endpoints/AB1_HELMINTIASES
AB1_HEPATITIS_A	Acute hepatitis A	I Certain infectious and parasitic diseases (AB1_)	148	497572	https://risteys.finngen.fi/endpoints/AB1_HEPATITIS_A
AB1_HEPATITIS_B	Acute hepatitis B	I Certain infectious and parasitic diseases (AB1_)	148	497572	https://risteys.finngen.fi/endpoints/AB1_HEPATITIS_B
AB1_HERPES_SIMPLEX	Herpesviral [herpes simplex] infections	I Certain infectious and parasitic diseases (AB1_)	4677	480316	https://risteys.finngen.fi/endpoints/AB1_HERPES_SIMPLEX
AB1_HIV_INFECT_PARASITES	Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases	I Certain infectious and parasitic diseases (AB1_)	78	499754	https://risteys.finngen.fi/endpoints/AB1_HIV_INFECT_PARASITES
AB1_HIV_NOS	Unspecified human immunodeficiency virus [HIV] disease	I Certain infectious and parasitic diseases (AB1_)	299	499754	https://risteys.finngen.fi/endpoints/AB1_HIV_NOS
AB1_INTESTINAL_INFECTIONS	Intestinal infectious diseases	I Certain infectious and parasitic diseases (AB1_)	56056	444292	https://risteys.finngen.fi/endpoints/AB1_INTESTINAL_INFECTIONS
AB1_LATE_SYPHILIS	Late syphilis	I Certain infectious and parasitic diseases (AB1_)	431	485458	https://risteys.finngen.fi/endpoints/AB1_LATE_SYPHILIS
AB1_LISTERIOSIS	Listeriosis	I Certain infectious and parasitic diseases (AB1_)	150	439048	https://risteys.finngen.fi/endpoints/AB1_LISTERIOSIS
AB1_LYME	Lyme disease	I Certain infectious and parasitic diseases (AB1_)	10516	489832	https://risteys.finngen.fi/endpoints/AB1_LYME
AB1_MALARIA	Malaria	I Certain infectious and parasitic diseases (AB1_)	170	499430	https://risteys.finngen.fi/endpoints/AB1_MALARIA
AB1_MALARIA_FALCIPARIUM	Plasmodium falciparum malaria	I Certain infectious and parasitic diseases (AB1_)	80	499430	https://risteys.finngen.fi/endpoints/AB1_MALARIA_FALCIPARIUM
AB1_MALARIA_NOS	Other parasitologically confirmed or unspecified malaria	I Certain infectious and parasitic diseases (AB1_)	75	499430	https://risteys.finngen.fi/endpoints/AB1_MALARIA_NOS
AB1_MEASLES	Measles	I Certain infectious and parasitic diseases (AB1_)	425	480316	https://risteys.finngen.fi/endpoints/AB1_MEASLES
